subject,tag,file,lineno,NOC,NOFF,NOO
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\benchmark\template_benchmark.py,17,65,1,16
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,400,65,1,12
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,1034,73,1,17
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,1058,73,1,17
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,1086,37,2,12
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\curl_httpclient.py,301,76,1,16
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\escape.py,262,66,1,13
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\ioloop.py,805,46,2,8
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\locks.py,51,37,2,8
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\options.py,127,56,1,12
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\options.py,154,95,2,19
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\options.py,163,56,1,12
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\options.py,481,70,2,9
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\stack_context.py,230,30,2,7
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\web.py,173,64,1,13
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\web.py,1958,65,1,15
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\web.py,2832,43,2,9
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\wsgi.py,115,58,1,13
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\platform\twisted.py,186,38,2,6
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\runtests.py,302,68,1,12
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\setup.py,213,38,2,7
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\benchmarks\run.py,126,82,2,15
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\benchmarks\benchmarks\optimize.py,89,36,2,6
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\benchmarks\benchmarks\sparse.py,71,63,1,13
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\constants\codata.py,975,59,2,10
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\constants\__init__.py,292,88,2,15
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\constants\__init__.py,295,95,1,29
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\constants\__init__.py,303,38,2,9
