subject,tag,file,lineno,LEC,DNC,NCT
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\interpolate\polyint.py,613,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\interpolate\_monotone.py,130,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\interpolate\_monotone.py,131,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\interpolate\tests\test_fitpack.py,94,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\interpolate\tests\test_fitpack.py,220,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\interpolate\tests\test_fitpack.py,220,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\interpolate\tests\test_interpolate.py,103,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\interpolate\tests\test_polyint.py,34,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\interpolate\tests\test_polyint.py,43,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\interpolate\tests\test_polyint.py,358,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\idl.py,254,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\idl.py,255,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\idl.py,256,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\idl.py,258,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\idl.py,259,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\idl.py,261,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\idl.py,265,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\idl.py,309,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\idl.py,537,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\idl.py,542,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\mmio.py,289,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\mmio.py,289,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\netcdf.py,670,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\netcdf.py,671,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\arff\arffread.py,476,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\arff\arffread.py,477,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\arff\arffread.py,478,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\arff\arffread.py,494,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\arff\arffread.py,679,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\arff\arffread.py,680,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\arff\tests\test_arffread.py,64,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\arff\tests\test_arffread.py,64,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\arff\tests\test_arffread.py,97,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\arff\tests\test_arffread.py,120,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\arff\tests\test_arffread.py,121,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\arff\tests\test_arffread.py,124,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\arff\tests\test_arffread.py,125,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\arff\tests\test_arffread.py,136,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\arff\tests\test_arffread.py,137,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\arff\tests\test_arffread.py,139,2,,
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\io\arff\tests\test_arffread.py,140,2,,
