subject,tag,file,lineno,MLOC
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\setup.py,85,9
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\appengine\blog.py,42,12
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\appengine\blog.py,113,22
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\benchmark\benchmark.py,66,17
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\benchmark\chunk_benchmark.py,25,11
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\benchmark\stack_context_benchmark.py,55,15
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\blog\blog.py,47,13
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\blog\blog.py,143,25
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\blog\blog.py,177,12
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\blog\blog.py,201,13
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\chat\chatdemo.py,38,12
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\chat\chatdemo.py,81,9
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\s3server\s3server.py,76,10
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\s3server\s3server.py,88,15
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\s3server\s3server.py,106,9
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\s3server\s3server.py,119,11
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\s3server\s3server.py,136,48
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\s3server\s3server.py,199,10
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\s3server\s3server.py,213,13
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\s3server\s3server.py,229,16
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\twitter\twitterdemo.py,75,10
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\webspider\webspider.py,12,9
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\webspider\webspider.py,53,13
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\webspider\webspider.py,59,13
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\maint\scripts\test_resolvers.py,25,23
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\maint\scripts\custom_fixers\fix_future_imports.py,35,17
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\maint\test\redbot\red_test.py,70,30
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\maint\test\websocket\client.py,13,21
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\maint\vm\windows\bootstrap.py,52,15
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,125,10
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,199,41
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,247,42
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,262,12
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,332,19
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,379,22
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,413,15
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,438,16
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,457,12
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,520,9
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,531,12
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,579,12
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,683,19
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,797,10
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,864,14
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,943,13
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,1022,13
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,1046,13
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\autoreload.py,118,12
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\autoreload.py,169,15
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\autoreload.py,195,10
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\autoreload.py,208,20
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\autoreload.py,259,39
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\concurrent.py,271,9
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\concurrent.py,430,22
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\concurrent.py,481,9
