subject,tag,file,lineno,DOC,experience-based,statistics-based,manual analysis
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\appengine\blog.py,40,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\benchmark\chunk_benchmark.py,25,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\webspider\webspider.py,53,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\maint\test\redbot\red_test.py,109,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,247,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\concurrent.py,475,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\escape.py,282,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\gen.py,198,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\gen.py,480,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\gen.py,609,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\gen.py,694,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\gen.py,988,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\httpclient.py,206,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\ioloop.py,400,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\iostream.py,547,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\iostream.py,1084,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\netutil.py,224,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\process.py,96,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\process.py,266,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\stack_context.py,253,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\web.py,702,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\web.py,1498,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\web.py,1523,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\web.py,1629,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\web.py,1652,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\web.py,2691,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\web.py,2818,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\web.py,3113,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\websocket.py,386,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\wsgi.py,268,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\platform\twisted.py,157,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\platform\twisted.py,573,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\concurrent_test.py,129,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\concurrent_test.py,155,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\concurrent_test.py,309,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\concurrent_test.py,318,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\curl_httpclient_test.py,96,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\gen_test.py,39,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\gen_test.py,70,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\gen_test.py,76,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\gen_test.py,85,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\gen_test.py,93,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\gen_test.py,99,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\gen_test.py,107,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\gen_test.py,120,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\gen_test.py,134,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\gen_test.py,143,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\gen_test.py,152,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\gen_test.py,160,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\gen_test.py,168,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\gen_test.py,176,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\gen_test.py,184,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\gen_test.py,191,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\gen_test.py,198,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\gen_test.py,211,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\gen_test.py,217,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\gen_test.py,223,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\gen_test.py,232,2,0,0,0
