subject,tag,file,lineno,CLOC,experience-based,statistics-based,manual analysis
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\setup.py,39,5,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\appengine\blog.py,59,4,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\appengine\blog.py,76,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\appengine\blog.py,86,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\appengine\blog.py,93,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\appengine\blog.py,99,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\appengine\blog.py,106,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\appengine\blog.py,145,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\benchmark\benchmark.py,49,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\benchmark\chunk_benchmark.py,17,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\benchmark\stack_context_benchmark.py,11,4,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\benchmark\stack_context_benchmark.py,40,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\benchmark\stack_context_benchmark.py,48,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\blog\blog.py,46,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\blog\blog.py,88,4,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\blog\blog.py,102,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\blog\blog.py,112,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\blog\blog.py,119,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\blog\blog.py,126,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\blog\blog.py,134,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\blog\blog.py,173,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\blog\blog.py,193,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\blog\blog.py,218,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\blog\blog.py,224,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\chat\chatdemo.py,32,5,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\chat\chatdemo.py,75,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\chat\chatdemo.py,80,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\chat\chatdemo.py,97,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\facebook\facebook.py,32,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\facebook\facebook.py,54,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\facebook\facebook.py,61,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\facebook\facebook.py,76,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\facebook\facebook.py,101,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\facebook\facebook.py,107,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\helloworld\helloworld.py,27,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\s3server\s3server.py,54,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\s3server\s3server.py,73,5,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\s3server\s3server.py,118,2,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\s3server\s3server.py,135,4,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\s3server\s3server.py,212,4,0,0,0
