hash,tag,author,date,title
53b4f5d,v0.1.0,Travis Oliphant,2001-08-14 08:05:34,Minor array_import changes.
661356a,v0.1.2,Eric Jones,2001-08-14 17:39:02,removed gplt from testing process
f7d2eb7,v0.2.0,nobody,2003-10-01 06:52:21,This commit was manufactured by cvs2svn to create tag 'v0_2_0'.
9646d5d,v0.2.2,nobody,2004-04-02 21:40:11,This commit was manufactured by cvs2svn to create tag 'v0_2_2'.
ed1680d,v0.3.0,nobody,2004-04-16 23:59:00,This commit was manufactured by cvs2svn to create tag 'v0_3_0'.
3672ce2,v0.3.2,Pearu Peterson,2004-10-08 09:15:13,Updated .pdf and .tex tutorial files.
c73d4f6,v0.4.2,Travis Oliphant,2005-11-12 06:37:52,Fixed version number.
3bcec41,v0.4.3,Travis Oliphant,2005-11-30 22:25:33,Fix the scipy version display.
07b1fda,v0.4.4,edschofield,2006-01-14 19:34:42,"Stripped magic from version.py, as in the 0.4.4 release files."
c80602f,v0.4.6,edschofield,2006-02-19 12:16:33,"Merged patches from trunk, versions 1605:1610"
9707cbf,v0.4.8,edschofield,2006-03-18 14:59:59,Cleaned up versions for new release.  Minor doc reformatting.
1acaecf,v0.4.9,edschofield,2006-05-24 13:07:37,Applied bug fix for ticket #204 from trunk
e31b2fa,v0.5.0,edschofield,2006-07-26 13:44:08,Updated version numbers, removed SVN version magic for 0.5.0 release
6a31f8f,v0.5.1,Travis Oliphant,2006-09-05 07:59:42,Fix version number
d0c8252,v0.5.2,Travis Oliphant,2006-12-08 04:24:19,Fix author
8124f93,v0.5.2.1,Jarrod Millman,2007-08-18 18:57:46,Make 0.5.2.1 tag a version release.
30174bd,v0.6.0,Jarrod Millman,2007-09-22 08:13:20,Fix problem with version information being doubled (see r3310)
4becfc9,v0.7.0b1,Jarrod Millman,2008-11-24 09:54:25,making the release
d4f321a,v0.7.0rc1,Jarrod Millman,2009-01-17 05:16:25,making the new release
8b569d3,v0.7.0rc2,David Cournapeau,2009-01-23 07:28:14,Update version for rc2.
f6aa904,v0.7.0,Stefan van der Walt,2009-02-19 20:41:41,Backport 0.7.0 release notes from trunk.
e141a1e,v0.7.1rc1,David Cournapeau,2009-06-04 06:41:37,scipy 0.7.1 RC1.
898d130,v0.7.1rc2,David Cournapeau,2009-06-05 07:47:25,RC2 release (to deal with python 2.6 massive failures on Mac OS X).
7adc03e,v0.7.1rc3,David Cournapeau,2009-06-12 03:38:23,Set up released version for RC3.
e96e5f7,v0.7.1,David Cournapeau,2009-09-13 12:20:36,Make sure added paths are lists and not strings.
cdcb54a,v0.7.2rc1,Stefan van der Walt,2010-04-08 14:25:40,Fix MakeNSIS call when building superpack.
e56406f,v0.7.2rc2,rgommers,2010-04-18 07:23:44,Update version to 0.7.2rc2
d026bb3,v0.7.2rc3,rgommers,2010-04-18 15:07:00,REL: set version to 0.7.2rc3.
