subject,file,lineno,NOC,NOL,experience-based,statistics-based,tuning machine
ajenti,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ajenti\ajenti\plugins\supervisor\client.py,59,25,1,0,0,0
ajenti,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ajenti\ajenti\plugins\supervisor\client.py,74,28,1,0,0,0
ajenti,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ajenti\ajenti\plugins\taskmgr\main.py,14,33,1,0,0,0
ajenti,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ajenti\ajenti\plugins\tasks\api.py,74,36,1,0,0,0
ajenti,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ajenti\ajenti\plugins\tasks\api.py,103,62,1,1,0,0
ajenti,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ajenti\ajenti\plugins\terminal\main.py,147,22,1,0,0,0
ajenti,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ajenti\ajenti\plugins\webserver_common\api.py,196,82,2,1,0,0
ajenti,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ajenti\ajenti\ui\binder.py,144,70,1,1,0,0
ajenti,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ajenti\ajenti\ui\binder.py,575,42,1,0,0,0
ajenti,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ajenti\ajenti\ui\element.py,234,24,1,0,0,0
ajenti,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ajenti\ajenti\ui\element.py,244,24,1,0,0,0
ajenti,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ajenti\ajenti\ui\element.py,252,24,1,0,0,0
