hash,tag,author,date,title
e8c50dc,v0.2.0,nobody,2002-01-05 17:07:10,This commit was manufactured by cvs2svn to create tag 'release_0_2_0'.
d8e22e7,v0.2.2,Pearu Peterson,2004-04-02 21:40:12,Prepearing to tag scipy tree (unified micro version numbers)
3cb02b5,v0.3.0,Pearu Peterson,2004-04-14 18:52:08,"Impl. a way to ignore software in the system, e.g. set ATLAS=None to pretend that Atlas libraries are not availiable."
957cf79,v0.3.2,Pearu Peterson,2004-10-09 19:24:06,When specifying env. var. then don't search elsewhere.
ac4db18,v0.4.2b1,Travis Oliphant,2005-10-12 07:45:42,Merged changes from newcore
5ac24f5,v0.6.0,Travis Oliphant,2005-11-12 04:28:26,Fixed problem.
513d80a,v0.6.1,Travis Oliphant,2005-11-13 03:12:09,Removed svn tag.
2efca40,v0.8.4,Travis Oliphant,2005-12-13 07:27:07,Removed svn version.
cbec609,v0.9.2,Travis Oliphant,2006-01-05 20:05:32,Removed svn for release.
c79bcec,v0.9.4,Travis Oliphant,2006-01-22 08:16:39,fix so patch is applied correctly.
3a01f1d,v0.9.5,Travis Oliphant,2006-02-16 22:52:48,Fix version.py for release
d99b776,v0.9.6,Travis Oliphant,2006-03-14 09:07:46,Updated version.py
9da998f,v0.9.8,Travis Oliphant,2006-05-28 22:08:51,Remove dependency on win32pdh
6dd6953,v1.0b1,Travis Oliphant,2006-07-21 08:48:36,Remove svn number from 1.0b1 version
87596ee,v1.0b2,Travis Oliphant,2006-08-14 07:34:32,Make it a release.
cc6bed5,v1.0b3,Travis Oliphant,2006-08-21 21:06:24,Make release 1.0b3 a release
64be3e2,v1.0b4,Travis Oliphant,2006-08-28 19:52:55,Undoing changes mistakenly made on tag 1.0b4
c90202c,v1.0b5,Travis Oliphant,2006-09-05 03:49:04,Make version a release
56ac5f7,v1.0rc1,Travis Oliphant,2006-09-20 19:14:33,Make 1.0rc1 a release.
f25e158,v1.0rc2,Travis Oliphant,2006-10-09 20:22:34,Update release for tag.
c9d632d,v1.0rc3,Travis Oliphant,2006-10-19 04:46:19,Make a release.
