subject,tag,file,lineno,PAR,experience-based,statistics-based,manual analysis
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\auth.py,1022,3,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\httpclient.py,616,3,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\ioloop.py,719,3,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\stack_context.py,122,4,0,1,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\testing.py,243,4,0,1,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\web.py,1296,3,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\web.py,2981,3,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\platform\caresresolver.py,30,4,0,1,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\test\httpclient_test.py,334,3,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\test\tcpclient_test.py,83,3,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\test\wsgi_test.py,13,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\benchmarks\benchmarks\linalg.py,95,4,0,1,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\benchmarks\benchmarks\sparse_linalg_lobpcg.py,78,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\cluster\tests\test_hierarchy.py,292,4,0,1,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\integrate\quadrature.py,589,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\integrate\tests\test_integrate.py,510,4,0,1,1
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\interpolate\fitpack2.py,583,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\interpolate\interpolate.py,1941,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\interpolate\rbf.py,185,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\io\arff\arffread.py,671,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\linalg\interpolative.py,667,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\linalg\_interpolative_backend.py,1101,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\linalg\tests\test_special_matrices.py,506,4,0,1,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\optimize\linesearch.py,453,5,1,1,1
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\optimize\optimize.py,621,5,1,1,1
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\optimize\_linprog.py,173,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\optimize\tests\test_optimize.py,87,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\signal\fir_filter_design.py,311,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\signal\tests\test_ltisys.py,725,3,0,0,0
