tag,file,LongParameterList,LongMethod,LongScopeChaining,LongBaseClassList,LargeClass,LongMessageChain,ComplexLambdaExpression,LongTernaryConditionalExpression,ComplexContainerComprehension,MultiplyNestedContainer,LOC,change,fault
2.30.0,tests/unit/s3/test_lifecycle.py,0,0,0,0,0,0,0,0,0,0,45,0,0
2.30.0,tests/integration/rds2/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
2.30.0,boto/glacier/concurrent.py,2,0,0,0,0,0,0,0,0,0,259,2,0
2.30.0,tests/integration/ec2/cloudwatch/test_connection.py,0,0,0,0,0,0,0,0,0,0,145,3,0
2.30.0,tests/unit/auth/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
2.30.0,boto/kinesis/layer1.py,0,0,0,0,0,0,0,0,0,0,147,2,0
2.30.0,tests/unit/test_exception.py,0,0,0,0,0,0,0,0,0,0,71,1,0
2.30.0,boto/mturk/layoutparam.py,0,0,0,0,0,0,0,0,0,0,25,0,0
2.30.0,boto/sdb/db/manager/__init__.py,0,0,0,0,0,0,0,0,0,0,40,0,0
2.30.0,tests/integration/sns/test_connection.py,0,0,0,0,0,0,0,0,0,0,29,3,0
2.30.0,tests/integration/cloudformation/test_connection.py,0,0,0,0,0,0,0,0,0,0,76,0,0
2.30.0,boto/beanstalk/layer1.py,1,0,0,0,1,0,0,0,0,0,396,1,0
2.30.0,tests/unit/s3/test_website.py,0,0,0,0,0,0,0,0,0,0,102,0,0
2.30.0,boto/pyami/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
2.30.0,boto/file/bucket.py,0,0,0,0,0,0,0,0,0,0,37,0,0
2.30.0,tests/unit/utils/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
2.30.0,tests/integration/rds2/test_cert_verification.py,0,0,0,0,0,0,0,0,0,0,9,0,0
2.30.0,tests/unit/ec2/cloudwatch/test_connection.py,0,0,0,0,0,0,0,0,0,0,51,0,0
2.30.0,tests/unit/vpc/test_vpngateway.py,0,0,0,0,0,0,0,0,0,0,129,3,0
2.30.0,tests/integration/route53/__init__.py,0,0,0,0,0,0,0,0,0,0,14,1,0
2.30.0,boto/rds2/__init__.py,0,0,0,0,0,0,0,0,0,0,11,0,0
2.30.0,boto/sns/connection.py,1,0,0,0,1,0,0,0,0,0,254,3,0
2.30.0,boto/sdb/db/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
2.30.0,boto/dynamodb/item.py,0,0,0,0,0,0,0,0,0,0,68,1,0
2.30.0,boto/directconnect/__init__.py,0,0,0,0,0,0,0,0,0,0,10,0,0
2.30.0,tests/unit/s3/test_bucket.py,0,0,0,0,0,0,0,0,0,0,152,1,0
2.30.0,boto/cloudsearch2/optionstatus.py,0,0,0,0,0,0,0,0,0,0,105,1,0
2.30.0,tests/integration/ec2/cloudwatch/__init__.py,0,0,0,0,0,0,0,0,0,0,0,1,0
2.30.0,boto/sts/__init__.py,0,0,0,0,0,0,0,0,0,0,11,0,0
2.30.0,boto/gs/key.py,0,1,0,0,0,0,0,0,0,0,293,0,0
2.30.0,tests/mturk/run-doctest.py,0,0,0,0,0,0,0,0,0,0,9,0,0
2.30.0,tests/integration/cloudsearch/test_layers.py,0,0,0,0,0,0,0,0,0,0,38,0,0
2.30.0,tests/mturk/selenium_support.py,0,0,0,0,0,0,0,0,0,0,52,0,0
2.30.0,boto/gs/acl.py,0,0,0,0,0,0,0,0,0,0,212,0,0
2.30.0,boto/gs/resumable_upload_handler.py,2,3,0,0,0,0,0,0,0,0,360,1,0
2.30.0,tests/unit/glacier/test_job.py,0,0,0,0,0,0,0,0,0,0,50,3,0
2.30.0,boto/ec2/autoscale/activity.py,0,0,0,0,0,0,0,0,0,0,46,1,0
2.30.0,tests/integration/sts/test_session_token.py,0,0,0,0,0,0,0,0,0,0,48,1,0
2.30.0,boto/ec2/regioninfo.py,0,0,0,0,0,0,0,0,0,0,8,1,0
2.30.0,tests/unit/cloudfront/test_signed_urls.py,0,0,0,0,0,0,0,0,0,0,226,2,0
2.30.0,boto/contrib/__init__.py,0,0,0,0,0,0,0,0,0,0,0,1,0
2.30.0,boto/jsonresponse.py,0,0,0,0,0,0,0,0,0,0,119,1,0
2.30.0,tests/unit/rds/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
2.30.0,boto/pyami/config.py,1,0,0,0,0,0,0,0,0,0,160,3,0
2.30.0,tests/integration/ses/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
2.30.0,tests/db/test_lists.py,0,0,0,0,0,0,0,0,0,0,66,0,0
2.30.0,tests/unit/s3/test_uri.py,0,0,0,0,0,0,0,0,0,0,224,0,0
2.30.0,tests/integration/redshift/test_cert_verification.py,0,0,0,0,0,0,0,0,0,0,8,0,0
2.30.0,boto/gs/cors.py,0,0,0,0,0,0,0,0,0,0,106,0,0
2.30.0,tests/db/test_password.py,0,0,0,0,0,0,0,0,0,0,81,0,0
2.30.0,boto/s3/bucketlogging.py,0,0,0,0,0,0,0,0,0,0,50,0,0
2.30.0,boto/swf/__init__.py,0,0,0,0,0,0,0,0,0,0,12,0,0
2.30.0,tests/unit/beanstalk/test_layer1.py,0,0,0,0,0,0,0,0,0,3,122,1,0
