hash,tag,author,date,title
42ef655,1.0,James Bennett,2008-09-03 23:38:45,Bump version number for Django 1.0 release
13f63f0,1.0.1,James Bennett,2008-11-15 06:00:26,Django 1.0.1.
ef784f9,1.0.2,James Bennett,2008-11-19 05:27:25,[1.0.X] Django 1.0.2.
f602e2b,1.0.3,James Bennett,2009-07-29 04:15:59,[1.0.X] Update packaging information for impending 1.0.3 security/bugfix release.
2735836,1.1,James Bennett,2009-07-29 05:51:03,Update packaging info for 1.1 release.
3473461,1.1.1,James Bennett,2009-10-09 21:06:09,[1.1.X] Bump version number for security release.
c030907,1.0.4,James Bennett,2009-10-09 21:06:47,[1.0.X] Bump version number for security release.
4333ca5,1.1.2,James Bennett,2010-05-14 05:45:12,[1.1.X] Bump to 1.1.2.
6276167,1.2,James Bennett,2010-05-17 17:31:49,Bump version and download info to 1.2.
6cffb9b,1.2.1,James Bennett,2010-05-24 19:10:30,Bump to 1.2.1.
329fab4,1.2.2,James Bennett,2010-09-09 00:37:33,[1.2.X] Increment to Django 1.2.2.
f140436,1.2.3,James Bennett,2010-09-11 06:49:33,[1.2.X] Bump to 1.2.3.
334654f,1.1.3,James Bennett,2010-12-23 03:51:37,[1.1.X] Bump to 1.1.3 for security release.
c30be97,1.2.4,James Bennett,2010-12-23 03:52:07,[1.2.X] Bump to 1.2.4 for security release.
66dc41a,1.2.5,James Bennett,2011-02-09 03:05:58,[1.2.X] Bump version number for impendign security release.
24f2898b,1.1.4,James Bennett,2011-02-09 03:06:37,[1.1.X] Bump version number for impending security release.
7c08f4c,1.3,James Bennett,2011-03-23 05:06:31,Bump everything for 1.3.
722d406,1.3.1,James Bennett,2011-09-10 01:32:14,[1.3.X] Bump to 1.3.1 for security release.
216a79e,1.2.6,James Bennett,2011-09-10 01:41:36,[1.2.X] Bump to 1.2.6 for security release.
ed736e6,1.2.7,James Bennett,2011-09-11 01:01:58,"[1.2.X] Bump to 1.2.7, refs #16804."
2591fb8,1.4,James Bennett,2012-03-23 16:53:23,Bump trunk to 1.4.
28a4d03,1.4.1,James Bennett,2012-07-30 15:43:45,[1.4.x] Bump version numbers for security release.
e2ac917,1.3.2,James Bennett,2012-07-30 16:00:55,[1.3.x] Use correct download URL.
c718b4a,1.3.3,James Bennett,2012-08-01 15:06:44,[1.3.x] Bump version numbers for bugfix release.
8c46ead,1.4.2,James Bennett,2012-10-17 17:17:37,[1.4.x] Bump ALL the version numbers.
25d23d9,1.3.4,James Bennett,2012-10-17 17:25:52,[1.3.x] Bump version numbers for security release.
d7f8894,1.5a1,James Bennett,2012-10-25 14:30:53,[1.5.x] Sphinx conf to 1.5 alpha 1.
1c05619,1.5b1,James Bennett,2012-11-27 16:09:10,[1.5.x] Bump version numbers for 1.5 beta 1.
59a3e26,1.3.5,James Bennett,2012-12-10 15:38:03,[1.3.x] Bump version numbers for security release.
1f0af3c,1.4.3,James Bennett,2012-12-10 15:45:04,[1.4.x] Bump version numbers for security release.
82d4786,1.5b2,James Bennett,2012-12-10 15:49:48,[1.5.x] Bump version numbers for security release.
f23d3ce,1.5c1,James Bennett,2013-01-04 12:49:58,[1.5.x] Bump version numbers for 1.5 RC 1.
18d920e,1.5c2,James Bennett,2013-02-19 14:15:33,[1.5.x] Bump version numbers for security release.
f61f800,1.4.4,James Bennett,2013-02-19 14:17:23,[1.4.x] Bump version numbers for security release.
747d3f0,1.3.6,James Bennett,2013-02-19 14:18:32,[1.3.x] Bump version numbers for security release.
304a5e0,1.3.7,James Bennett,2013-02-20 13:52:28,[1.3.x] Bump version numbers to roll a clean package.
67a937c,1.4.5,James Bennett,2013-02-20 13:53:27,[1.4.x] Bump version numbers to roll a clean package.
b170c07,1.5,James Bennett,2013-02-26 13:28:38,[1.5.x] Correct final element of version tuple.
2847ae6,1.5.1,Jacob Kaplan-Moss,2013-03-28 15:12:39,Bump version numbers for 1.5.1.
ab7de21,1.6a1,Jacob Kaplan-Moss,2013-05-26 22:26:27,Bumped verion numbers for 1.6a1.
70f2d9a,1.6b1,Jacob Kaplan-Moss,2013-06-28 08:15:10,Updated version numbers and setup.py for 1.6beta.
e61e20e,1.4.6,Tim Graham,2013-08-13 11:16:30,Added 1.4.6/1.5.2 release notes.
5fdd6af,1.5.2,Tim Graham,2013-08-13 11:16:30,Added 1.4.6/1.5.2 release notes.
529afa7,1.6b2,Tim Graham,2013-08-13 11:16:30,Added 1.4.6/1.5.2 release notes.
701c1a1,1.4.7,James Bennett,2013-09-10 20:15:38,[1.4.x] Bump version numbers for 1.4.7 security release.
0a34f39,1.5.3,James Bennett,2013-09-10 20:25:27,[1.5.x] Bump version numbers for 1.5.3 security release.
ed9b7b6,1.6b3,James Bennett,2013-09-10 20:32:14,[1.6.x] Bump version number for 1.6 beta 3 security release.
4607c73,1.5.4,James Bennett,2013-09-15 00:29:31,[1.5.x] Add release notes and bump version numbers for 1.5.4 security release.
623c491,1.6b4,James Bennett,2013-09-15 00:36:03,[1.6.x] Add release notes and bump version number for security release.
6903d16,1.4.8,Russell Keith-Magee,2013-09-15 14:02:38,"[1.4.x] Removed usage of b"""" string syntax for Python 2.5 compatibility."
9c98205,1.6c1,James Bennett,2013-10-22 21:56:12,[1.6.x] Bump version number for 1.6 release candidate.
c30516e,1.5.5,James Bennett,2013-10-24 23:31:51,[1.5.x] Bump everything for 1.5.5 bugfix release.
8f36d1f,1.4.9,James Bennett,2013-10-24 23:37:26,[1.4.x] Bump everything for 1.4.9 bugfix release.
