id,summary,status,owner,type,component,version
14555,Session loss with psycopg2 db backend,closed,aaugustin,Bug,contrib.sessions,1.3
14548,Docs and implementation don't match regading return values of certain QuerySet aggregate functions,closed,nobody,Bug,Documentation,1.2
14540,Wrong localization (L10N) thousand separator & decimal point character for Puerto Rico,closed,nobody,Bug,Internationalization,1.2
14518,Field.to_python not called on foreign key IDs,new,nobody,Bug,"Database layer (models, ORM)",master
14515,"Can't pickle ValueQuerySet if query references fields, which aren't on the same model.",closed,nobody,Bug,"Database layer (models, ORM)",1.2
14511,exclude() generates wrong query for ManyToManyField with a 'through' relationship,closed,nobody,Bug,"Database layer (models, ORM)",1.2
14506,Crash on HEAD request,closed,nobody,Bug,Documentation,1.2
14496,Conflict between ModelForm.Meta.exclude and ModelAdmin.readonly attributes,closed,nobody,Bug,contrib.admin,1.2
14492,Model proxy instance does not equal the respective model instance,closed,bruth,Bug,"Database layer (models, ORM)",master
14478,Couple of tests make assumptions about configuration,closed,nobody,Bug,Contrib apps,master
14476,"annotate, default aggregation naming and filter annoyance",new,ramiro,Bug,"Database layer (models, ORM)",master
14462,Aggregates default to the database type instead of the field type,closed,wogan,Bug,"Database layer (models, ORM)",1.2
14438,Deserializer raises ValidationError if natural key is given as string,closed,nobody,Bug,Core (Serialization),1.2
14434,AdminSite should rely on self.has_permission for all permission checks,closed,nobody,Bug,contrib.admin,1.2
14411,Inline delete not prompting cascade delete warning,new,nobody,Bug,contrib.admin,1.2
14408,Admin Error when subclassing ContentType for generic Relations,new,nobody,Bug,contrib.admin,1.2
14402,help_text is not displayed for ManyToMany raw_id fields,new,nobody,Bug,contrib.admin,master
14394,Assigning bad data to an m2m attribute should not clear existing data,closed,nobody,Bug,"Database layer (models, ORM)",master
14368,Reverse relation attribute for OneToOneField fails when set to None,new,nobody,Bug,"Database layer (models, ORM)",1.2
14357,Prevent innapropriate order-based grouping on values+annotate queries,new,,Bug,"Database layer (models, ORM)",
14348,Paginator does not handle django.db.models.sql.datastructures.EmptyResultSet,closed,nobody,Bug,"Database layer (models, ORM)",1.2
14334,Queries don't ensure that comparison objects are the correct type,closed,anubhav9042,Bug,"Database layer (models, ORM)",master
14325,GenericForeignKey fails if assigned to an object which implements the __len__ method,closed,natano,Bug,contrib.contenttypes,1.2
14317,numberformat.format produces wrong results,assigned,lukenio,Bug,Internationalization,1.5
