subject,tag,file,lineno,NOC,NOL,,,manual analysis
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\probability.py,1991,58,1,,,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\text.py,43,55,1,,,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\text.py,568,54,1,,,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\treeprettyprinter.py,164,39,2,,,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\treeprettyprinter.py,367,70,2,,,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\treeprettyprinter.py,429,86,3,,,1
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\treeprettyprinter.py,524,43,2,,,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\lin.py,81,100,1,,,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\lin.py,83,94,2,,,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\inference\discourse.py,110,61,1,,,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\inference\discourse.py,181,55,1,,,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\inference\discourse.py,421,64,1,,,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\parse\malt.py,37,57,2,,,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\parse\malt.py,39,56,1,,,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\parse\pchart.py,483,68,1,,,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\parse\viterbi.py,367,68,2,,,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\sem\boxer.py,860,62,1,,,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\sem\drt.py,387,59,1,,,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\sem\drt.py,621,71,1,,,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\sem\drt.py,798,76,2,,,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\stem\porter.py,355,61,1,,,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\stem\porter.py,362,62,1,,,0
