ID,Title,Created At,Closed At
7427,Potential error with `find_cmd`? (fails when `which` not on PATH),2015-01-12T16:13:36Z,
7423,Disabled menu items can still be triggered,2015-01-12T09:53:23Z,2015-01-14T19:52:34Z
7421,Notebook conversion to LaTeX/pdf fails with nbconvert,2015-01-11T22:37:13Z,2015-01-11T22:53:03Z
7418,User interface tour broken.,2015-01-11T16:40:31Z,2015-01-21T05:23:55Z
7411,threadsafe widgets,2015-01-10T02:00:29Z,
7410,Two link objects with name conflicts,2015-01-10T00:50:44Z,2015-01-29T19:30:18Z
7409,Focus jump bug when running first cell in a new notebook,2015-01-10T00:48:13Z,2015-01-14T20:09:07Z
7408,Fix ultratb when there are non-ascii filenames present in a traceback,2015-01-09T23:51:21Z,2015-01-11T14:37:05Z
7397,Generate fontweight enum values without an extraneous variable from a comprehension,2015-01-08T18:26:45Z,2015-01-10T20:05:25Z
7395,Code cell vertical scrolling,2015-01-08T16:39:17Z,2015-01-11T19:12:57Z
7394,Markdown output in nbconvert,2015-01-07T14:23:06Z,2015-01-15T08:08:08Z
7372,Notebook scrolling look and feel,2015-01-04T19:45:14Z,2015-01-14T20:09:07Z
7367,Clicking on menu actions in the notebook makes it jump to the beginning,2015-01-03T20:09:48Z,2015-01-14T18:25:14Z
7351,nbagg shows no image,2014-12-30T10:20:09Z,2015-01-15T17:12:37Z
7349,"When kernel is missing, notebook fails to load",2014-12-30T03:36:16Z,2015-01-27T19:11:00Z
7338,Dead kernel indicator does not disapear.,2014-12-28T15:37:15Z,2015-01-15T08:09:38Z
7334,intermittent kernel connection issues (OSX Yosemite),2014-12-27T15:51:50Z,2015-01-13T17:29:12Z
7333,pdflatex chokes on SymPy's unicode char 9472,2014-12-27T13:44:21Z,
7317,atomic write umask,2014-12-26T16:37:04Z,2015-01-15T08:20:10Z
7304,handling of html comments is inconsistent,2014-12-24T07:28:26Z,2015-01-13T23:53:55Z
7301,getopenfilename does not block when when using ipython inputhook/start_event_loop,2014-12-23T22:13:22Z,
7292,Eliminate white space in menu bar when tool bar is hidden,2014-12-23T21:07:14Z,2014-12-27T01:06:13Z
7291,See if we can make the pager slide out of view straight downward,2014-12-23T20:54:18Z,2015-01-15T08:00:27Z
7289,"UnicodeEncodeError when trying ipcluster start (windows, python 2.7, non-ascii characters in user name)",2014-12-23T14:49:01Z,2015-01-14T21:46:08Z
7276,code fails to produce a figure in inline mode (but works in Qt4Agg backend),2014-12-19T19:04:10Z,2015-07-11T16:43:38Z
7270,Memory leak with %matplotlib inline ,2014-12-19T00:28:19Z,
7265,Monkey patch is_bold_broken in term.js to return true,2014-12-18T17:56:58Z,2015-01-15T07:48:01Z
7237,Kernel switching problems (implementation and design),2014-12-16T00:42:07Z,2014-12-17T19:06:44Z
7236,Error in console when starting a new notebook,2014-12-16T00:38:43Z,2015-01-01T10:01:07Z
7232,"Toggling between the ""Running"" and ""Notebooks"" tabs causes scroll jump",2014-12-16T00:19:07Z,2014-12-16T07:10:45Z
7134,completer go below pager.,2014-12-08T14:49:11Z,
7104,Can't edit a Notebook if the load does not complete,2014-12-04T18:32:53Z,
7100,%run magic on ipynb continues after a cell has an exception,2014-12-04T01:09:15Z,2015-01-15T11:21:26Z
7086,Kernels do not show banner in console,2014-12-03T02:23:10Z,
7058,"Lost notebook during rename with `""` in file name",2014-11-29T16:51:54Z,
7039,%matplolib qt causes notebook to hang when using Run-All,2014-11-26T01:04:22Z,2016-01-19T19:14:37Z
7038,Selection container widgets don't support multiple views of the same model,2014-11-25T18:30:42Z,
7001,Ipython qtconsole segmentation fault with custom stylesheet for IPythonWidget,2014-11-20T10:46:54Z,
6957,shutdown/delete broken,2014-11-17T16:13:33Z,2014-11-17T19:09:53Z
6954,Cursor up/down skips lines,2014-11-16T09:09:47Z,2014-11-29T13:23:48Z
6918,Overriding X-Frame-Options improperly disables any X-Frame-Options,2014-11-13T03:16:32Z,2015-01-12T02:23:55Z
6912,IPython not setting exit status if script errors,2014-11-12T22:53:05Z,2015-10-26T14:32:19Z
6894,notebook: sys.stdout monkeypatch blocks sys.stdout.flush,2014-11-10T17:47:47Z,2014-11-10T19:53:39Z
6893,Wrapper Kernel -> `do_shutdown` is not called when the Console is shut down.,2014-11-10T14:52:20Z,2014-11-12T19:35:06Z
6864,Exceptions thrown in cell with multiline strings,2014-11-05T20:56:51Z,
6852,OutputArea.js text can be null,2014-11-04T14:28:50Z,2015-01-14T21:57:24Z
6833,Edit notebook metadata gets awkward with large metadata,2014-11-01T20:37:41Z,
6830,IPython backtrace omits context if source file not in working directory,2014-11-01T13:10:22Z,
6824,Single bad kernelspec JSON causes all kernels to not work,2014-10-31T21:48:31Z,2014-11-01T01:05:38Z
6823,ZMQChannelHandler websocket connections all timing out,2014-10-31T20:21:54Z,2014-11-04T04:22:37Z
6814,Race condition in slider value validation,2014-10-30T15:01:02Z,2015-01-27T22:20:59Z
6804,Fix PyQt5 ctrl-c handling issue introduced by input hook refactoring (pull #5666),2014-10-28T18:17:33Z,2014-10-28T20:38:25Z
6796,Menu switching on phone,2014-10-25T18:03:37Z,
6790,Sporadic failure in JS tests,2014-10-24T19:13:33Z,
6786,In notebook %%writefile writes spurious % at the end of file,2014-10-24T03:31:47Z,
6772,IPython Notebook not respecting matplotlib's matplotlibrc axes background color setting,2014-10-22T05:09:08Z,
6771,Prevent kernels from even sending too much output to the notebook frontend,2014-10-22T01:11:04Z,
6753,IPython notebook slowdown when it includes huge latex expressions,2014-10-21T04:26:40Z,2015-01-13T03:44:59Z
6744,error in examples / Notebook / Trapezoid Rule.ipynb,2014-10-20T14:39:31Z,2015-01-12T19:20:36Z
6726,QTConsole broken functionality,2014-10-17T15:58:07Z,2014-10-23T11:39:59Z
6724,Markdown with Mathjax fails during HTML export,2014-10-17T13:10:12Z,2014-10-18T08:33:49Z
6709,Notebook prints classes without regard to __repr__,2014-10-15T21:03:26Z,2014-10-20T18:35:44Z
6635,Autocompletion stops working after creating an InteractiveShellEmbed object,2014-10-06T20:50:08Z,
6618,Nbconvert and Unicode highlighing,2014-10-04T10:15:26Z,2015-01-16T02:10:44Z
6578,AttributeError: 'QtInProcessShellChannel' object has no attribute '_handle_kernel_info_reply',2014-09-29T20:40:47Z,2015-01-12T18:39:23Z
6562,Toggle buttons' state not displayed correctly,2014-09-27T18:06:28Z,2015-01-25T19:20:53Z
6534,Same widget does not update all interact. ,2014-09-24T06:33:22Z,2015-09-21T19:03:05Z
6531,Responsive menu bar goes wrong when window is narrow,2014-09-23T22:48:29Z,2014-10-19T08:59:23Z
6518,Test failure in atomic save on Windows,2014-09-22T16:29:23Z,2014-10-01T19:04:32Z
6514,Fix for copying metadata flags,2014-09-21T20:16:37Z,2014-09-22T14:39:14Z
6507,%%cython magic module caching behavior confusing,2014-09-19T20:01:42Z,2015-01-12T18:40:16Z
6502,Function Pasted with %cpaste Not Available In Editor with %edit,2014-09-19T12:55:00Z,
6473,"Switching between ""Raw Cell Format"" and ""Edit Metadata"" does not work",2014-09-15T16:37:19Z,2014-10-01T15:43:51Z
6469,IPython Notebook RadioButtonsWidget value cannot be string representation of an integer.,2014-09-15T04:05:43Z,2015-01-15T04:13:48Z
6468,Weird matplotlib drawing behavior using styles and grid,2014-09-15T00:38:59Z,
6466,several bugs in ipython nbconvert --to latex,2014-09-14T21:43:02Z,
6455,Incorrect cursor_pos when performing auto-completion,2014-09-12T15:16:42Z,
6442,Latex tab completions leave extra backslash in terminal console,2014-09-09T21:36:50Z,2015-01-19T18:15:54Z
6409,No module named '_dummy',2014-09-04T18:50:24Z,2014-09-04T21:48:54Z
6404,Celltoolbar not shown on rendered Markdown cell,2014-09-03T23:02:25Z,2014-09-04T22:19:59Z
6383,Message spec shim doesn't add user_variables on first request,2014-08-30T14:36:49Z,2015-01-13T23:26:03Z
6365,Find a way to show smth to user when JS fails.,2014-08-27T10:45:27Z,
6350,Bad code formatting in slides,2014-08-23T11:48:11Z,2015-01-14T17:08:19Z
6340,IPython Custom widget notebook cell order,2014-08-21T13:02:14Z,2015-01-20T20:44:41Z
6334,keycodes.down used for showing tooltips?,2014-08-18T20:40:07Z,2015-01-14T22:49:00Z
6330,Output Scrollbar Overlaps Next Cell,2014-08-18T16:58:41Z,2015-01-12T20:59:05Z
6304,Changing kernels quickly leaks fds and crashes the notebook,2014-08-13T19:14:38Z,2014-08-20T21:38:46Z
6278,interact doesn't work with instance methods,2014-08-06T18:52:54Z,2015-01-15T18:22:27Z
6264,"""ipython console"" not responding if first command arrives too early",2014-08-03T11:51:32Z,
6262,Raw cell indentation problems with nbconvert,2014-08-02T20:32:16Z,2015-01-14T09:45:30Z
6249,always use HTTPS getting mathjax from CDN,2014-07-31T19:04:19Z,2014-07-31T20:44:37Z
6236,Fix detecting the native kernel to launch with sys.executable,2014-07-29T17:23:47Z,2014-07-29T21:16:13Z
6203,Faulty logic in widget get_css and set_css,2014-07-24T19:54:52Z,2014-10-03T23:16:18Z
6188,Add a requirejs shim for highlight.js,2014-07-22T20:53:29Z,2014-07-24T11:53:28Z
6181,RadioButtonsWidget duplicates entries containing backslashes,2014-07-22T09:21:32Z,2015-01-14T09:48:04Z
6172,%timeit magic does work on latest pypy anymore,2014-07-20T08:21:07Z,2015-01-19T18:45:55Z
6131,Sphinx directive raises exception with magic,2014-07-14T05:53:52Z,
6130,semicolon doesn't suppress output in %paste,2014-07-14T03:01:02Z,
6121,Possible bug - Notebook stack trace creates 3 html links when an HTML link is present in the code,2014-07-11T23:38:45Z,
6109,Multiprocessing usage results in ZMQError: Address already in use,2014-07-10T21:47:26Z,2015-03-02T17:33:38Z
6060,Highlighting all of the text in a codemirror cell and then right clicking cause jump,2014-06-27T22:07:00Z,2014-10-03T23:08:02Z
6052,Unclear error message when trying to load notebook that isn't even valid JSON,2014-06-26T20:14:10Z,2015-01-13T23:25:08Z
6043,Race condition in notebook tab-completion,2014-06-24T23:52:17Z,
6025,Bug: unnecessary removal of ellipses,2014-06-20T16:54:23Z,2014-06-21T15:10:16Z
6014,'Nicer' import failure messages cause another error on Python 3,2014-06-18T22:14:52Z,2014-06-20T00:06:35Z
