subject,file,lineno,PAR,experience-based,statistics-based,tuning machine,<A>,<B>,manual inspection
PathPicker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\PathPicker\src\formattedText.py,75,5,1,1,1,1,1,1
pattern,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pattern\pattern\graph\commonsense.py,144,5,1,1,1,1,0,1
powerline,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\powerline\docs\source\powerline_autodoc.py,24,5,1,1,1,1,1,1
powerline,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\powerline\docs\source\powerline_automan.py,52,4,0,1,0,0,0,0
powerline,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\powerline\powerline\colorscheme.py,36,3,0,0,0,0,0,0
pyspider,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pyspider\pyspider\run.py,208,9,1,1,1,1,1,1
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\listen.py,111,4,0,1,0,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\notebooks\test.py,26,1,0,0,0,0,0,0
scikit-learn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scikit-learn\benchmarks\bench_glmnet.py,32,6,1,1,1,1,1,1
scikit-learn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scikit-learn\benchmarks\bench_multilabel_metrics.py,114,15,1,1,1,1,1,1
scikit-learn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scikit-learn\benchmarks\bench_plot_approximate_neighbors.py,59,7,1,1,1,1,1,1
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\src\sentry\admin.py,134,5,1,1,1,1,1,1
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\src\sentry\api\base.py,145,5,1,1,1,1,1,1
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\src\sentry\api\bases\project.py,44,6,1,1,1,1,1,1
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\tests\integration\tests.py,367,7,1,1,1,1,1,1
sh,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sh\sh.py,320,1,0,0,0,0,0,0
sh,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sh\sh.py,375,3,0,0,0,0,0,0
