subject,tag,file,lineno,NOC,NOFF,NOO
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\s3server\s3server.py,153,28,1,6
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,190,53,1,13
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,1036,34,1,5
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,1061,34,1,5
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\curl_httpclient.py,45,45,1,7
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\escape.py,186,27,1,6
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\escape.py,264,31,1,5
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\escape.py,266,31,1,5
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\gen.py,329,31,1,9
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\gen.py,332,32,1,9
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\gen.py,474,44,1,8
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\gen.py,477,46,1,8
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\gen.py,574,45,1,7
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\gen.py,643,28,1,5
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\gen.py,917,39,1,6
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\gen.py,920,48,1,8
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\http1connection.py,375,52,1,15
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\http1connection.py,523,28,1,7
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\httpclient.py,586,48,1,10
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\httputil.py,87,36,1,8
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\httputil.py,457,42,1,10
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\locale.py,139,39,1,8
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\log.py,174,53,1,9
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\netutil.py,471,45,1,5
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\options.py,134,46,1,7
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\template.py,629,66,1,11
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\template.py,694,52,1,13
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\web.py,740,48,1,9
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\web.py,751,90,1,10
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\web.py,770,90,1,10
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\web.py,924,38,1,6
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\web.py,1060,19,1,5
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\web.py,1839,42,1,10
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\web.py,1852,42,1,10
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\web.py,1961,41,1,7
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\web.py,2005,50,1,8
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\websocket.py,555,40,1,8
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\websocket.py,600,62,1,11
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\wsgi.py,290,28,1,7
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\gen_test.py,362,54,1,10
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\httpserver_test.py,604,37,1,11
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\locks_test.py,149,24,1,7
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\locks_test.py,155,23,1,5
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\locks_test.py,302,54,1,10
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\locks_test.py,372,20,1,7
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\locks_test.py,440,20,1,7
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\locks_test.py,441,33,1,5
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\netutil_test.py,198,45,1,12
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\queues_test.py,51,30,1,7
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\queues_test.py,131,49,1,11
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\queues_test.py,146,47,1,10
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\queues_test.py,200,23,1,5
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\queues_test.py,232,49,1,11
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\queues_test.py,246,47,1,10
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\runtests.py,67,40,1,6
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\runtests.py,138,27,1,6
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\test\tcpclient_test.py,79,26,1,5
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\pavement.py,214,39,1,13
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\pavement.py,518,22,1,5
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\pavement.py,672,36,1,7
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\pavement.py,678,39,1,7
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\runtests.py,247,34,1,6
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\benchmarks\benchmarks\io_matlab.py,103,42,1,10
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\benchmarks\benchmarks\optimize.py,84,25,1,4
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\benchmarks\benchmarks\optimize.py,85,25,1,4
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\benchmarks\benchmarks\optimize.py,86,25,1,4
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\benchmarks\benchmarks\optimize.py,87,25,1,4
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\benchmarks\benchmarks\sparse.py,137,40,1,9
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\benchmarks\benchmarks\stats.py,16,49,1,10
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\cluster\hierarchy.py,219,39,1,5
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\cluster\hierarchy.py,1829,41,1,6
