subject,tag,file,lineno,CLOC,experience-based,statistics-based,tuning machine
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\demos\blog\blog.py,119,2,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\demos\blog\blog.py,126,2,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\demos\blog\blog.py,134,3,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\demos\blog\blog.py,173,3,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\demos\blog\blog.py,193,3,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\demos\blog\blog.py,218,2,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\demos\blog\blog.py,224,2,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\demos\chat\chatdemo.py,32,5,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\demos\chat\chatdemo.py,75,2,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\demos\chat\chatdemo.py,80,2,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\demos\chat\chatdemo.py,97,3,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\demos\facebook\facebook.py,32,2,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\demos\facebook\facebook.py,54,2,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\demos\facebook\facebook.py,61,3,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\demos\facebook\facebook.py,76,3,0,0,0
