ID,Title,Created At,Closed At
3389,EMR ListSteps Doesn't Properly Filter Based on cluster_states,2015-11-11T18:02:18Z,2015-12-23T20:59:53Z
3384,Cloudsearch connecting to regions with connect_cloudsearch and lookup issues,2015-11-03T14:28:03Z,2016-02-11T22:07:10Z
3378,TypeError populating keys from metadata server,2015-10-27T00:41:17Z,2016-02-22T18:28:06Z
3377,UnboundLocalError: local variable 'region_name' referenced before assignment,2015-10-26T21:12:10Z,
3376,Trouble using security_group authorize method with src_group=same_group,2015-10-23T20:44:03Z,
3374,Dynamodb2 cannot save empty array,2015-10-21T09:02:07Z,
3366,set_contents_from_filename memory leak,2015-10-11T17:16:32Z,
3365,UnboundLocalError: local variable 'e' referenced before assignment when I use set set_contents_from_filename for large files,2015-10-09T09:15:37Z,
3355,initiate multipart 403s on GCS,2015-10-01T21:59:14Z,
3351,EmrConnection.run_jobflow: unexpected behaviors due to the use of empty lists as optional arguments,2015-09-24T18:57:41Z,
3350,DynamoDB describe() doesn't read the data types for hash and range keys on GSI,2015-09-24T00:41:21Z,
3349,DynamoDB Global index capacity read from AWS is not used,2015-09-23T22:36:14Z,
3341,no_proxy support has some issues,2015-09-15T09:51:09Z,2016-02-11T23:07:49Z
3338,swf.layer2.WorkflowType().start_workflow_execution() returns WorkflowExecution without region set correctly,2015-09-11T13:32:16Z,
3337,boto.config.getint doesn't work as expected in python3.,2015-09-11T04:13:33Z,
3335,boto.sqs.connection.send_message_batch does not work when message attributes are provided,2015-09-10T18:17:18Z,2016-02-11T22:38:03Z
3318,UnicodeDecodeError - glacier uploads fail using vault objects from Layer2()'s get vault,2015-08-27T18:02:40Z,2016-04-08T17:13:41Z
3315,CloudFormation: missing some stacks when calling list_stacks(),2015-08-21T21:59:26Z,
3304,Can't upload to the glacier,2015-08-18T07:33:55Z,2016-04-08T17:13:41Z
3284,socket.gaierror: [Errno -2] Name or service not known,2015-07-27T03:10:43Z,2015-08-20T02:08:42Z
3281,Batch deleting failed with batch_write.,2015-07-22T09:19:52Z,
3273,dynamodb2 batchwrite put_item overwrite argument should be documented,2015-07-15T10:07:25Z,
3272,"Bugfix: For binary data, the message value encode and decode function…",2015-07-14T10:39:23Z,
3269,[bug][S3] `boto.s3.Key.encrypted` does not return True for encrypted keys,2015-07-10T21:14:55Z,
3268,StepSummary wrongly uses ClusterStatus (EMR),2015-07-10T20:31:35Z,
3263,Problem importing boto in Python 3 running under Google Cloud,2015-07-09T03:01:24Z,2015-12-22T01:48:12Z
3262,boto.datapipeline doesn't allow for complete pipeline definitions,2015-07-08T14:12:32Z,
3258,ec2 modify_image_attribute | not standard post request?,2015-07-01T22:03:52Z,
3253,Issue #3252 - Allow sigv4 enabled default hosts,2015-06-30T11:48:14Z,
3252,Allow supported default hosts to use sigv4,2015-06-30T11:44:16Z,
3251,respect attribute from schema when setting local and global index keys,2015-06-30T07:17:57Z,
3248,use boto.config.getint() for max_retry_delay,2015-06-29T16:25:27Z,
3247,fix the bug 403 SignatureDoesNotMatch when the key name is ~,2015-06-26T10:31:34Z,
3245,Cloudfront `create_signed_url` results in 403 `SignatureDoesNotMatch`,2015-06-25T03:02:36Z,
3244,url returned from cloudfront create_signed_url results in 403 response: missing AWSAccessKeyId parameters,2015-06-25T02:57:38Z,
3240,dynamize_value doesn't handle bools like previous version of boto,2015-06-23T01:01:14Z,
3237,S3 key. _get_file_internal doesn't handle num_cb properly when Range request,2015-06-19T12:24:49Z,
3235,blockdevicemapping parsing bug in startElement.,2015-06-18T08:50:43Z,
3229,SearchResults sometimes get called without proper attrs,2015-06-12T17:51:14Z,
3228,Fix misnamed Stack.stack_name_reason attribute,2015-06-12T10:17:57Z,2016-03-31T11:44:40Z
3216,Connection pool containing too many open connections,2015-06-09T14:15:00Z,
3181,Remove S3HmacAuthV4Hander::host_header() function,2015-05-21T11:41:44Z,
3176,fix V4 auth in one edge case,2015-05-20T13:42:09Z,
3164,Parse error type before getting the exception class from __faults mappings,2015-05-13T02:15:18Z,
3163,Fix for gsutil with dotted buckets,2015-05-12T16:53:19Z,
3149,Route53 TCP healthcheck,2015-05-08T07:31:21Z,2016-04-01T17:07:35Z
3143,Fix import path for ec2container connection,2015-05-07T00:51:06Z,2015-06-29T17:58:07Z
3127,Fixes Issue #3126 EMR list_instances when fitlering by instance_group_types,2015-05-01T15:00:20Z,2015-07-06T23:38:03Z
3124,Build policy public,2015-04-30T22:37:18Z,
3100,Partial glacier json response,2015-04-20T22:16:28Z,
3066,Fix line-ending bug in auth variables,2015-03-27T03:13:23Z,
2957,Update healthcheck.py fixes #2931,2015-02-12T05:03:20Z,
2953,Fixes #2931 and documents args,2015-02-10T16:23:22Z,
2948,switch to unquote_plus in bucketlistresultset,2015-02-09T10:14:55Z,2016-02-05T19:11:57Z
2934,Correct parameters for SSHClient,2015-02-05T11:42:34Z,
2933,"CORS add_rule(), copy/paste error preventing allowed_header check.",2015-02-04T20:52:37Z,
2932,Ensure Content-Length header is a str,2015-02-04T15:30:28Z,2015-02-06T00:31:22Z
2931,health_check cannot run update method because missing self.connection,2015-02-04T01:21:48Z,
2890,Switch to M2Crypto library,2015-01-16T16:10:10Z,
2849,Incorrect sigv4 signature when tilde character '~' is present in S3 key name.,2014-12-30T19:37:28Z,2016-04-04T20:50:44Z
2846,Incorrect sigv4 signature when non-ascii present in query string in Python 2,2014-12-30T01:54:30Z,2016-04-04T20:49:55Z
