hash,tag,author,date,title
eb09eed,v0.91.2,Charles Moad,2008-01-06 18:28:17,minor rev bump
562ec2c,v0.91.3,Charles Moad,2008-05-30 03:07:39,minor rev bump
f42da8a,v0.98.0,Charles Moad,2008-05-30 03:09:53,new release prep
a8386f8,v0.98.1,Charles Moad,2008-06-23 01:32:18,minor rev bump
1ee56a8,v0.91.4,Charles Moad,2008-06-23 02:11:08,minor rev bump
ca27821,v0.98.2,John Hunter,2008-06-24 18:13:40,tagging 98.2
cfadd36,v0.98.3,Charles Moad,2008-08-03 17:56:58,minor rev bump
d957e3c,v0.98.4,Charles Moad,2008-12-10 03:01:14,tagging new release
579640d,v0.98.5,Charles Moad,2008-12-12 03:33:51,tagging new release
ac387d1,v0.99.0.rc1,Michael Droettboom,2009-07-31 13:33:06,Tagging 0.99.0.rc1 release
3f1a8dd,v0.99.0,John Hunter,2009-08-06 12:02:33,tagging for 0.99 release
668a769,v1.0.0,John Hunter,2010-07-06 13:56:31,tagging for release 1.0
a9f3f3a,v1.0.1,John Hunter,2011-01-06 13:50:07,tag 1.0.1 for release
6ada57f,v1.1.0-rc1,Ben Root,2011-09-24 12:13:51,Only set ARCH_FLAGS if it hasn't been set already
0fc9830,v1.1.0,Michael Droettboom,2011-10-06 11:55:41,"Fix font sizes when displaying SVGs with fonttype ""none"" or ""svgfont"" in Firefox.  Closes #510."
97f7130,v1.1.1-rc2,John Hunter,2012-06-09 13:31:42,Merge pull request #938 from jkseppan/simplify-ttconv-loop
7e47149,v1.1.1,John Hunter,2012-06-30 12:33:22,Merge pull request #961 from WeatherGod/issue-807-AutoMinorLocator
bda6dd9,v1.2.0rc1,Michael Droettboom,2012-09-12 10:32:55,Set version to 1.2.0rc1
656c88f,v1.2.0rc2,Michael Droettboom,2012-09-19 13:33:32,Update version to 1.2.0rc2
60ba70f,v1.2.0rc3,Michael Droettboom,2012-10-30 09:31:51,Merge branch 'v1.2.x' of github.com:matplotlib/matplotlib into v1.2.x
85b020c,v1.2.0,Michael Droettboom,2012-11-08 11:38:38,Version bump.
6ecd89e,v1.2.1rc1,Michael Droettboom,2013-03-07 14:01:12,Tagging version 1.2.1rc1
8a17df0,v1.2.1,Michael Droettboom,2013-03-26 10:21:49,Update version number
8a090dc,v1.3.0rc1,Michael Droettboom,2013-05-29 14:21:53,Note 1.3.0rc1
b43d5f5,v1.3.0rc2,Michael Droettboom,2013-05-29 15:59:12,1.3.0rc2 version bump
c371e63,v1.3.0rc3,Michael Droettboom,2013-06-18 15:14:41,Tagging v1.3.0rc3 relase
03e0936,v1.3.0rc4,Michael Droettboom,2013-06-21 13:37:13,Don't add a setup.cfg to the tarball
53e2237,v1.3.0rc5,Michael Droettboom,2013-07-19 12:20:51,Bump version number to 1.3.0rc5
1614a0d,v1.3.0,Michael Droettboom,2013-07-31 11:34:06,Bump to version 1.3.0
cb2e0b8,v1.3.1rc1,Michael Droettboom,2013-09-27 13:02:39,Updating version to 1.3.1rc1
498e249,v1.3.1rc2,Michael Droettboom,2013-09-30 10:27:22,Bump version to 1.3.1rc2
cfb6ac6,v1.3.1,Michael Droettboom,2013-10-10 08:44:25,Bumping version to 1.3.1
047c60a,v1.4.0rc1,Thomas A Caswell,2014-07-13 00:34:39,Merge pull request #3217 from JulianCienfuegos/master
cfb3db6,v1.4.0rc2,Thomas A Caswell,2014-07-26 09:18:30,TAG : version bump to 1.4.0rc2
3cd34f6,v1.4.0rc3,Thomas A Caswell,2014-08-09 16:43:54,TAG : version bump for RC3
756ae99,v1.4.0rc4,Thomas A Caswell,2014-08-17 15:52:23,REL : version bump for 1.4.0rc4
a451e2c,v1.4.0,Thomas A Caswell,2014-08-25 22:18:36,DOC : updated user stats
477c492,v1.4.1rc1,Thomas A Caswell,2014-10-14 11:19:13,REL : version bump to v1.4.1rc1
809e627,v1.4.1,Thomas A Caswell,2014-10-18 14:26:22,REL : tag v1.4.1
3a828dd,v1.4.2,Thomas A Caswell,2014-10-22 21:33:00,REL : v1.4.2
7ef7919,v1.4.3rc1,Thomas A Caswell,2015-02-01 23:41:29,REL : version bump for 1.4.3rc1
21f46ff,v1.4.3,Thomas A Caswell,2015-02-15 22:50:55,REL : version 1.4.3
